Shipment_Type_ID,Cargo_Category,Cargo_Subcategory,Avg_Weight_kg,Avg_Volume_cbm,Handling_Cost,Risk_Level,Temperature_Control,SLA_Days
SHP0374,Automotive,Spare Parts,1153.76,10.26,451.03,Medium,No,9
SHP0375,Automotive,Tyres,1464.4,2.44,265.09,High,No,1
SHP0376,FMCG,Packaged Food,1129.68,10.86,403.27,High,Yes,12
SHP0377,Textiles,Home Fabrics,1347.42,4.01,189.18,Medium,No,11
SHP0378,Automotive,Batteries,510.01,6.35,95.76,High,Yes,6
SHP0379,Electronics,Accessories,769.11,10.68,233.22,Low,No,4
SHP0380,Textiles,Home Fabrics,869.49,3.74,407.28,High,No,7
SHP0381,FMCG,Personal Care,1201.33,5.86,429.69,Medium,Yes,10
SHP0382,Automotive,Tyres,951.43,9.86,434.81,High,Yes,9
SHP0383,Textiles,Footwear,1091.38,8.68,27.34,Low,No,10
SHP0384,Automotive,Tyres,54.3,9.69,208.61,High,Yes,2
SHP0385,Electronics,Laptop,1217.55,4.6,182.35,High,No,4
SHP0386,Pharma,Vaccines,337.16,7.03,215.04,High,No,5
SHP0387,Textiles,Home Fabrics,428.14,8.07,116.33,Low,Yes,11
SHP0388,Automotive,Batteries,938.71,1.5,261.66,High,Yes,12
SHP0389,FMCG,Packaged Food,1444.94,4.45,268.01,High,Yes,10
SHP0390,Electronics,Laptop,1352.9,9.13,486.05,High,No,4
SHP0391,Automotive,Batteries,1198.61,5.12,390.09,Medium,No,12
SHP0392,FMCG,Packaged Food,995.37,1.98,430.65,Low,No,12
SHP0393,Pharma,Medical Devices,946.47,11.77,447.69,High,Yes,7
SHP0394,Automotive,Spare Parts,1133.93,3.63,405.09,Low,No,10
SHP0395,Textiles,Home Fabrics,1230.6,1.01,202.61,High,No,8
SHP0396,Textiles,Clothing,654.87,2.65,6.74,Medium,Yes,1
SHP0397,FMCG,Packaged Food,40.06,9.78,180.28,High,No,11
SHP0398,Pharma,Vaccines,229.77,0.07,291.13,High,No,10
SHP0399,FMCG,Beverages,63.5,6.33,259.14,Medium,No,5
SHP0400,Textiles,Footwear,74.24,7.35,152.05,Medium,No,13
SHP0401,FMCG,Packaged Food,1275.57,2.14,496.06,High,Yes,7
SHP0402,Electronics,TV,1298.85,10.0,355.72,High,No,11
SHP0403,Pharma,Medicines,1454.25,8.2,310.29,Low,No,2
SHP0404,Pharma,Vaccines,403.13,3.89,197.61,Medium,No,8
SHP0405,Electronics,TV,818.0,10.25,22.96,Medium,Yes,8
SHP0406,Textiles,Home Fabrics,1416.76,6.15,459.61,Medium,Yes,8
SHP0407,Electronics,Mobile,755.63,10.89,264.72,Medium,Yes,2
SHP0408,Pharma,Vaccines,274.13,11.92,345.16,Medium,Yes,1
SHP0409,FMCG,Personal Care,929.1,11.28,77.26,Low,No,4
SHP0410,Textiles,Footwear,1178.85,3.73,131.21,Medium,Yes,1
SHP0411,Electronics,Laptop,222.99,1.53,147.49,Low,Yes,4
SHP0412,Pharma,Medicines,709.71,10.03,408.04,High,No,11
SHP0413,Automotive,Spare Parts,113.29,8.57,62.76,Low,Yes,6
SHP0414,Electronics,Accessories,814.43,5.01,489.81,High,No,6
SHP0415,Textiles,Clothing,514.72,11.16,414.47,Medium,No,1
SHP0416,Pharma,Medicines,1329.61,2.6,80.85,Low,Yes,13
SHP0417,Textiles,Clothing,880.38,6.23,410.54,Low,No,14
SHP0418,Automotive,Tyres,1369.58,5.81,100.83,High,No,12
SHP0419,Pharma,Vaccines,926.25,10.71,450.05,Low,No,11
SHP0420,Textiles,Footwear,1328.46,10.93,115.29,Low,No,8
SHP0421,Pharma,Medicines,674.21,6.96,130.87,Low,No,8
SHP0422,FMCG,Personal Care,1346.94,7.09,341.86,Medium,Yes,11
SHP0423,Electronics,Laptop,944.03,9.08,394.82,Medium,Yes,13
SHP0424,FMCG,Beverages,1068.84,6.33,481.87,Medium,No,7
SHP0425,FMCG,Beverages,1489.25,8.03,236.12,Medium,No,7
SHP0426,Pharma,Vaccines,298.43,3.63,142.69,Medium,No,5
SHP0427,Electronics,Laptop,902.77,0.51,357.69,High,Yes,14
SHP0428,Textiles,Clothing,1410.32,10.47,411.72,High,No,12
SHP0429,Automotive,Tyres,746.92,10.39,258.01,Medium,Yes,12
SHP0430,Textiles,Home Fabrics,363.98,10.34,138.16,Medium,No,13
SHP0431,Textiles,Footwear,596.6,3.97,179.91,High,Yes,4
SHP0432,Textiles,Home Fabrics,116.76,10.5,349.99,Low,No,1
SHP0433,FMCG,Personal Care,102.02,4.71,158.99,Medium,Yes,8
SHP0434,Textiles,Footwear,588.19,10.84,412.33,High,Yes,5
SHP0435,Textiles,Clothing,1436.5,4.38,454.3,Medium,Yes,14
SHP0436,Pharma,Medicines,283.49,1.89,206.05,Low,Yes,1
SHP0437,Pharma,Medical Devices,328.21,3.23,123.82,High,No,7
SHP0438,Electronics,Laptop,770.34,7.05,192.82,Medium,Yes,4
SHP0439,Textiles,Home Fabrics,564.88,1.92,387.91,High,No,11
SHP0440,Automotive,Tyres,975.18,6.85,303.93,Low,Yes,14
SHP0441,Automotive,Tyres,123.32,6.6,338.33,Medium,No,14
SHP0442,Pharma,Medical Devices,887.31,7.58,278.51,High,Yes,8
SHP0443,Pharma,Vaccines,648.14,4.54,297.44,Medium,Yes,13
SHP0444,FMCG,Personal Care,1283.83,1.38,279.76,Medium,Yes,8
SHP0445,Electronics,Mobile,927.88,0.78,285.49,High,No,1
SHP0446,FMCG,Beverages,483.49,8.13,434.32,High,No,1
SHP0447,Automotive,Tyres,947.67,11.95,16.7,Medium,No,10
SHP0448,FMCG,Beverages,152.46,2.82,76.68,High,Yes,12
SHP0449,Textiles,Home Fabrics,767.51,3.07,264.87,Medium,Yes,8
SHP0450,FMCG,Packaged Food,768.98,10.71,406.01,Medium,Yes,4
SHP0451,Automotive,Spare Parts,408.67,4.38,302.05,Low,Yes,3
SHP0452,Textiles,Clothing,1469.86,10.32,371.94,High,Yes,6
SHP0453,Textiles,Clothing,638.5,6.59,226.34,High,No,13
SHP0454,Automotive,Tyres,470.39,4.3,193.74,High,Yes,14
SHP0455,Automotive,Spare Parts,1319.51,10.16,361.92,High,No,6
SHP0456,FMCG,Beverages,969.08,11.7,225.3,Medium,No,13
SHP0457,Pharma,Medicines,989.01,2.27,392.06,Medium,Yes,9
SHP0458,Textiles,Clothing,969.62,2.66,127.97,High,Yes,5
SHP0459,FMCG,Beverages,500.02,4.32,499.76,High,No,1
SHP0460,Textiles,Home Fabrics,573.09,6.57,176.06,Low,Yes,10
SHP0461,FMCG,Beverages,594.85,4.59,285.31,Medium,Yes,12
SHP0462,Textiles,Home Fabrics,1086.64,9.41,264.24,Medium,Yes,8
SHP0463,Automotive,Spare Parts,329.94,5.21,314.83,High,Yes,6
SHP0464,Textiles,Clothing,1283.45,10.75,353.24,High,No,9
SHP0465,FMCG,Personal Care,1041.21,1.07,84.7,High,Yes,10
SHP0466,FMCG,Beverages,708.77,2.16,426.8,Medium,No,12
SHP0467,Electronics,TV,1016.14,7.16,142.44,Low,No,14
SHP0468,FMCG,Personal Care,762.0,7.68,247.84,High,No,9
SHP0469,Electronics,TV,1383.45,1.23,488.78,High,Yes,5
SHP0470,FMCG,Personal Care,9.14,11.23,240.94,High,No,3
SHP0471,FMCG,Beverages,365.26,9.29,493.3,Medium,No,5
SHP0472,Electronics,Mobile,1348.28,5.31,70.87,Medium,Yes,9
SHP0473,Pharma,Vaccines,448.63,4.35,318.49,High,No,4
SHP0474,Electronics,Accessories,493.05,11.22,202.23,Medium,No,13
SHP0475,FMCG,Beverages,1266.88,7.84,477.31,High,No,2
SHP0476,Automotive,Tyres,130.07,5.78,473.45,Medium,No,12
SHP0477,Automotive,Batteries,824.09,10.28,229.28,High,Yes,13
SHP0478,Textiles,Home Fabrics,841.22,7.2,404.68,Medium,No,7
SHP0479,Textiles,Footwear,586.02,8.18,228.15,Medium,No,6
SHP0480,Automotive,Tyres,60.86,1.55,125.41,Low,No,7
SHP0481,FMCG,Personal Care,1414.93,9.51,378.83,Low,No,1
SHP0482,Automotive,Spare Parts,487.48,5.2,261.37,Medium,Yes,9
SHP0483,Textiles,Home Fabrics,1240.85,1.19,235.44,Medium,Yes,6
SHP0484,Electronics,TV,1003.49,4.41,177.79,Low,Yes,10
SHP0485,Textiles,Clothing,1087.18,3.9,36.15,Low,No,2
SHP0486,Electronics,Laptop,320.85,7.35,369.27,High,No,10
SHP0487,FMCG,Personal Care,731.77,8.35,177.38,High,Yes,7
SHP0488,Electronics,Laptop,1138.82,6.77,40.49,Low,No,6
SHP0489,Automotive,Batteries,1050.07,3.07,411.66,Medium,No,1
SHP0490,Pharma,Vaccines,767.32,9.52,245.98,High,No,3
SHP0491,Electronics,TV,256.59,10.11,489.14,Medium,Yes,12
SHP0492,FMCG,Personal Care,1193.23,3.19,250.28,High,Yes,12
SHP0493,Automotive,Spare Parts,292.83,0.06,386.31,Low,No,13
SHP0494,FMCG,Personal Care,1165.5,0.92,359.88,Low,Yes,12
SHP0495,Electronics,Laptop,969.22,10.62,372.48,Low,No,11
SHP0496,Electronics,TV,773.69,7.64,26.49,Low,No,13
SHP0497,Electronics,Accessories,655.27,6.97,290.74,Low,No,7
SHP0498,Pharma,Medicines,446.83,3.1,478.39,Medium,No,14
SHP0499,Textiles,Home Fabrics,1080.5,9.13,220.4,Medium,Yes,9
SHP0500,Pharma,Medical Devices,272.96,10.58,483.49,Medium,Yes,3
SHP0501,Electronics,Laptop,1390.78,7.99,169.67,High,Yes,6
SHP0502,Textiles,Footwear,578.25,10.51,449.91,Medium,No,10
SHP0503,Electronics,Mobile,119.8,3.27,260.53,Low,No,3
SHP0504,Electronics,Mobile,330.29,11.13,447.51,Medium,No,7
SHP0505,Automotive,Spare Parts,81.85,1.53,298.44,High,Yes,3
SHP0506,Automotive,Tyres,326.42,1.0,407.39,High,Yes,2
SHP0507,FMCG,Personal Care,1481.6,10.58,187.96,Medium,No,2
SHP0508,Electronics,TV,1050.79,5.54,486.34,High,Yes,14
SHP0509,Pharma,Vaccines,1257.81,1.46,315.09,High,No,4
SHP0510,Automotive,Batteries,813.43,1.02,401.61,Medium,Yes,5
SHP0511,Electronics,Accessories,264.24,6.76,203.5,High,Yes,1
SHP0512,FMCG,Personal Care,1309.54,10.17,349.53,Medium,No,6
SHP0513,Pharma,Vaccines,843.86,3.03,402.99,Low,Yes,3
SHP0514,FMCG,Packaged Food,358.85,4.94,28.49,Low,Yes,3
SHP0515,Textiles,Clothing,1067.48,9.45,205.71,Medium,Yes,1
SHP0516,Pharma,Medical Devices,904.91,1.41,319.88,Low,Yes,3
SHP0517,Automotive,Spare Parts,1396.58,6.16,101.35,Low,Yes,9
SHP0518,Pharma,Medical Devices,191.86,9.61,229.16,Medium,No,5
SHP0519,FMCG,Personal Care,289.37,7.97,200.06,Low,Yes,4
SHP0520,Automotive,Batteries,1352.2,11.59,142.28,High,No,2
SHP0521,Pharma,Medical Devices,276.87,2.3,123.0,Low,Yes,13
SHP0522,Automotive,Spare Parts,1191.34,2.96,252.93,Medium,Yes,5
SHP0523,Textiles,Footwear,675.32,3.86,208.79,Medium,Yes,13
SHP0524,Automotive,Batteries,1090.09,10.88,174.41,Low,No,8
SHP0525,Electronics,TV,40.09,1.78,46.71,Low,Yes,11
SHP0526,Textiles,Footwear,317.76,6.7,131.29,Medium,Yes,12
SHP0527,Pharma,Vaccines,7.01,7.91,106.95,Low,Yes,10
SHP0528,Textiles,Home Fabrics,1496.77,0.92,222.22,High,No,4
SHP0529,FMCG,Personal Care,383.82,7.7,314.96,Low,No,14
SHP0530,Automotive,Batteries,1186.5,10.74,185.74,Medium,Yes,12
SHP0531,Automotive,Batteries,11.19,1.01,297.37,High,No,10
SHP0532,Electronics,TV,1224.7,8.27,218.71,Low,Yes,1
SHP0533,FMCG,Beverages,1369.85,3.66,138.68,Medium,No,6
SHP0534,Automotive,Tyres,776.6,10.0,404.59,Medium,No,6
SHP0535,FMCG,Beverages,1135.68,5.65,127.14,Low,No,11
SHP0536,FMCG,Packaged Food,1153.51,1.72,170.03,High,Yes,8
SHP0537,Electronics,Accessories,293.26,9.16,235.41,Medium,No,8
SHP0538,Pharma,Vaccines,522.07,11.3,266.14,Low,No,12
SHP0539,Electronics,TV,306.38,3.29,414.36,High,No,13
SHP0540,FMCG,Packaged Food,855.62,1.42,8.12,Low,No,3
SHP0541,Automotive,Batteries,835.19,4.67,241.28,Medium,Yes,6
SHP0542,Automotive,Batteries,47.3,10.54,99.32,Medium,No,9
SHP0543,Electronics,Laptop,669.22,7.35,289.11,High,No,5
SHP0544,FMCG,Packaged Food,1169.33,8.04,486.74,Low,Yes,5
SHP0545,Pharma,Medicines,255.09,8.72,207.32,Low,Yes,10
SHP0546,Automotive,Tyres,403.85,0.32,352.61,Medium,Yes,9
SHP0547,FMCG,Beverages,1419.6,8.53,464.11,Medium,No,5
SHP0548,FMCG,Personal Care,1067.96,2.94,132.36,Medium,Yes,9
SHP0549,FMCG,Packaged Food,497.28,0.11,47.5,Medium,Yes,4
SHP0550,Textiles,Footwear,270.24,6.97,202.43,Medium,Yes,13
SHP0551,Automotive,Spare Parts,270.32,7.34,233.12,Medium,No,5
SHP0552,FMCG,Personal Care,458.57,2.8,364.6,Low,Yes,2
SHP0553,Electronics,Laptop,154.87,6.48,202.73,Low,Yes,5
SHP0554,Electronics,Accessories,1373.51,0.53,104.27,Low,No,12
SHP0555,Textiles,Clothing,644.75,11.02,492.13,Low,Yes,5
SHP0556,Automotive,Batteries,1387.48,3.02,139.71,Low,No,4
SHP0557,Electronics,Mobile,1246.79,2.84,159.42,High,Yes,10
SHP0558,Electronics,TV,843.19,10.72,484.05,Low,No,5
SHP0559,FMCG,Packaged Food,475.8,5.41,306.91,Medium,Yes,11
SHP0560,FMCG,Personal Care,682.97,4.56,74.09,Low,Yes,11
SHP0561,Automotive,Spare Parts,1343.42,8.42,403.05,High,Yes,11
SHP0562,Pharma,Medicines,1439.67,6.58,124.25,Medium,No,3
SHP0563,Pharma,Medicines,331.19,2.39,385.81,High,No,6
SHP0564,Pharma,Medicines,117.99,2.31,123.55,High,Yes,3
SHP0565,Automotive,Tyres,1115.9,0.79,277.88,Low,Yes,8
SHP0566,FMCG,Beverages,1376.36,10.12,262.21,Medium,No,5
SHP0567,FMCG,Personal Care,269.5,7.5,69.73,High,No,7
SHP0568,Automotive,Batteries,752.74,4.38,315.03,High,No,4
SHP0569,Automotive,Tyres,758.57,2.96,139.91,Medium,No,9
SHP0570,Textiles,Home Fabrics,194.12,1.81,360.51,High,No,9
SHP0571,Electronics,Mobile,1290.97,1.81,329.4,Medium,No,4
SHP0572,Automotive,Spare Parts,55.74,7.46,478.62,Medium,Yes,1
SHP0573,Automotive,Spare Parts,793.74,4.98,54.31,Medium,Yes,5
SHP0574,Textiles,Clothing,505.3,5.98,494.44,Low,No,13
SHP0575,Electronics,Laptop,43.2,1.78,434.42,Medium,Yes,10
SHP0576,Pharma,Vaccines,421.21,5.76,276.51,High,No,11
SHP0577,Pharma,Medical Devices,239.95,10.16,227.85,Low,No,11
SHP0578,Pharma,Vaccines,87.29,5.98,256.08,Low,Yes,14
SHP0579,Automotive,Batteries,1373.32,6.08,400.24,High,No,10
SHP0580,Textiles,Footwear,119.9,4.56,347.68,Low,No,11
SHP0581,FMCG,Beverages,801.74,5.79,149.84,High,Yes,14
SHP0582,Textiles,Footwear,189.81,1.32,484.76,Medium,No,2
SHP0583,FMCG,Personal Care,590.25,9.58,404.37,High,Yes,7
SHP0584,FMCG,Beverages,120.94,8.3,475.54,Medium,No,2
SHP0585,Electronics,Mobile,273.78,6.67,49.02,Low,No,4
SHP0586,FMCG,Beverages,886.78,6.24,191.04,High,No,3
SHP0587,Textiles,Footwear,628.36,1.8,158.7,Low,No,2
SHP0588,FMCG,Personal Care,496.13,3.06,304.73,Medium,No,5
SHP0589,Pharma,Vaccines,890.35,9.16,474.21,Medium,No,5
SHP0590,Automotive,Tyres,1037.55,1.92,427.54,Low,No,4
SHP0591,FMCG,Personal Care,1177.35,8.51,268.59,High,No,14
SHP0592,FMCG,Personal Care,197.56,0.18,293.91,High,No,8
SHP0593,Electronics,Accessories,460.52,11.03,18.81,Low,No,8
SHP0594,Automotive,Batteries,307.09,3.14,82.66,Medium,No,1
SHP0595,Pharma,Medicines,302.89,10.18,193.45,Low,Yes,8
SHP0596,FMCG,Beverages,1359.69,2.96,102.25,Low,No,8
SHP0597,Automotive,Batteries,731.63,4.39,368.66,Low,No,12
SHP0598,Automotive,Tyres,431.87,8.98,8.22,Low,No,12
SHP0599,Pharma,Medical Devices,1165.08,4.39,424.8,Low,Yes,14
SHP0600,FMCG,Beverages,311.51,2.46,250.29,High,Yes,6
SHP0601,Textiles,Home Fabrics,1109.96,10.4,36.52,High,Yes,8
SHP0602,Automotive,Tyres,667.43,3.7,139.8,High,No,8
SHP0603,Pharma,Vaccines,262.47,2.03,339.99,Medium,No,11
SHP0604,FMCG,Packaged Food,195.09,1.82,415.37,High,Yes,2
SHP0605,Electronics,Laptop,424.63,9.46,38.12,High,Yes,3
SHP0606,Textiles,Home Fabrics,331.66,6.57,197.03,Low,Yes,9
SHP0607,Automotive,Spare Parts,593.24,9.47,474.88,Medium,Yes,7
SHP0608,Pharma,Vaccines,546.11,8.25,228.58,Low,Yes,13
SHP0609,Electronics,Accessories,1429.34,10.05,72.51,Low,No,13
SHP0610,Automotive,Spare Parts,151.39,4.06,491.5,Medium,No,4
SHP0611,Textiles,Clothing,167.73,4.58,300.65,Medium,Yes,2
SHP0612,Textiles,Clothing,660.18,0.29,261.77,High,No,3
SHP0613,Electronics,Laptop,101.8,9.97,84.42,Medium,Yes,5
SHP0614,FMCG,Personal Care,1172.38,11.99,497.01,High,Yes,4
SHP0615,FMCG,Beverages,1407.93,5.13,79.03,Low,Yes,5
SHP0616,Textiles,Home Fabrics,1268.05,4.21,348.81,Low,Yes,13
SHP0617,Electronics,Accessories,824.0,11.99,154.83,Medium,Yes,8
SHP0618,Automotive,Spare Parts,99.63,1.93,371.34,Medium,Yes,3
SHP0619,Textiles,Home Fabrics,74.28,0.81,141.83,Low,No,1
SHP0620,Automotive,Spare Parts,435.73,7.03,140.77,High,Yes,7
SHP0621,Electronics,Mobile,814.71,5.18,453.08,Medium,No,7
SHP0622,Electronics,TV,1013.72,6.57,102.08,High,Yes,13
SHP0623,FMCG,Personal Care,1113.46,11.9,146.12,High,No,6
SHP0624,FMCG,Packaged Food,1162.73,6.03,20.73,High,Yes,14
SHP0625,Textiles,Home Fabrics,834.24,3.87,463.61,Low,No,6
SHP0626,Automotive,Batteries,535.14,6.13,418.19,Medium,No,12
SHP0627,FMCG,Packaged Food,835.79,9.14,139.36,High,No,1
SHP0628,Electronics,Accessories,1092.95,5.76,154.52,Low,Yes,1
SHP0629,Pharma,Medicines,1143.6,1.15,181.07,Low,Yes,9
SHP0630,FMCG,Personal Care,1345.75,3.03,224.44,Low,Yes,10
SHP0631,Textiles,Footwear,390.81,10.01,313.88,High,No,4
SHP0632,Textiles,Footwear,541.44,8.95,331.27,High,Yes,8
SHP0633,Textiles,Home Fabrics,595.22,3.08,308.19,High,No,13
SHP0634,FMCG,Personal Care,1441.6,11.42,122.69,High,Yes,12
SHP0635,Textiles,Footwear,1344.94,3.05,438.62,Medium,Yes,10
SHP0636,Automotive,Batteries,792.74,8.59,109.89,High,Yes,6
SHP0637,FMCG,Beverages,1027.53,7.75,411.24,Low,No,6
SHP0638,Pharma,Vaccines,997.86,7.64,250.06,High,No,14
SHP0639,FMCG,Packaged Food,1001.67,11.6,273.96,Medium,No,8
SHP0640,Automotive,Spare Parts,1179.19,10.01,469.61,High,Yes,10
SHP0641,Textiles,Clothing,1479.58,3.07,157.37,Medium,Yes,6
SHP0642,Textiles,Home Fabrics,1172.51,8.15,65.56,Low,Yes,6
SHP0643,FMCG,Personal Care,1465.98,10.08,135.67,High,Yes,5
SHP0644,Automotive,Spare Parts,944.51,2.51,250.09,Medium,No,2
SHP0645,Pharma,Medical Devices,1340.4,7.12,93.38,Low,No,4
SHP0646,Textiles,Footwear,1023.83,8.5,88.49,High,Yes,6
SHP0647,Electronics,Accessories,281.61,11.26,265.86,Medium,No,2
SHP0648,Automotive,Spare Parts,1002.23,10.19,380.5,Medium,No,12
SHP0649,Automotive,Tyres,297.72,7.4,284.68,High,No,1
SHP0650,Pharma,Medicines,155.57,8.64,366.98,High,No,13
SHP0651,Textiles,Footwear,102.57,10.95,205.95,Low,Yes,12
SHP0652,Pharma,Vaccines,949.21,9.15,253.64,Low,No,1
SHP0653,Pharma,Medical Devices,51.85,10.97,220.41,Low,No,9
SHP0654,Pharma,Medicines,167.98,4.05,35.14,High,No,13
SHP0655,Electronics,Accessories,585.82,7.02,123.51,Medium,No,1
SHP0656,Automotive,Batteries,170.75,9.18,111.04,High,Yes,6
SHP0657,FMCG,Personal Care,863.08,9.57,17.73,High,No,11
SHP0658,Textiles,Home Fabrics,458.91,8.91,331.17,Low,Yes,11
SHP0659,Pharma,Medical Devices,361.68,9.21,473.08,Low,No,8
SHP0660,Electronics,Mobile,1261.54,11.45,405.11,Low,No,3
SHP0661,Textiles,Footwear,1121.17,8.25,340.31,Low,Yes,13
SHP0662,Automotive,Spare Parts,322.13,3.8,265.87,Low,Yes,6
SHP0663,FMCG,Packaged Food,1421.59,10.26,440.9,Low,No,7
SHP0664,Pharma,Medical Devices,506.09,7.59,164.56,Low,Yes,13
SHP0665,Electronics,Laptop,458.92,3.99,470.31,High,No,9
SHP0666,FMCG,Packaged Food,881.44,9.46,476.91,High,No,8
SHP0667,Pharma,Medicines,1070.38,8.76,443.59,Medium,No,8
SHP0668,Textiles,Footwear,753.17,7.05,393.06,High,Yes,9
SHP0669,FMCG,Personal Care,295.66,0.96,316.35,Medium,Yes,12
SHP0670,Electronics,Mobile,1468.37,3.17,340.8,Medium,No,6
SHP0671,Electronics,Laptop,573.21,5.05,262.68,High,No,4
SHP0672,Pharma,Medicines,944.89,4.31,312.58,High,No,12
SHP0673,Textiles,Home Fabrics,791.28,5.97,265.6,High,Yes,10
SHP0674,Pharma,Medicines,171.68,3.6,426.92,Low,No,3
SHP0675,FMCG,Personal Care,1084.0,1.7,99.56,Medium,Yes,12
SHP0676,Pharma,Medicines,931.04,1.96,15.61,High,Yes,13
SHP0677,Electronics,Mobile,1221.46,3.85,359.78,High,Yes,11
SHP0678,Electronics,Mobile,59.73,7.82,191.36,Low,Yes,11
SHP0679,Electronics,Laptop,1288.86,2.73,210.33,Medium,Yes,9
SHP0680,FMCG,Personal Care,501.88,0.83,159.63,Low,No,5
SHP0681,Automotive,Tyres,330.35,0.73,213.94,Medium,Yes,13
SHP0682,Electronics,Mobile,1293.34,3.6,494.93,Medium,Yes,3
SHP0683,Textiles,Footwear,410.6,0.27,15.5,High,Yes,13
SHP0684,Pharma,Medicines,944.8,4.41,442.72,High,Yes,8
SHP0685,Pharma,Vaccines,798.25,8.53,485.66,High,Yes,10
SHP0686,Textiles,Footwear,788.27,11.5,280.94,High,No,11
SHP0687,FMCG,Beverages,567.2,10.28,115.31,High,No,9
SHP0688,FMCG,Beverages,1216.01,4.87,52.5,High,Yes,6
SHP0689,Pharma,Medical Devices,639.71,11.58,285.64,Medium,No,4
SHP0690,Automotive,Batteries,1056.87,2.39,267.54,High,No,13
SHP0691,Automotive,Spare Parts,1112.88,8.29,428.2,Low,No,7
SHP0692,Electronics,TV,894.93,6.32,44.52,Low,No,13
SHP0693,FMCG,Personal Care,193.49,11.32,173.56,Medium,Yes,7
SHP0694,FMCG,Personal Care,907.89,3.98,158.12,Low,No,6
SHP0695,Pharma,Medical Devices,1105.11,3.9,141.48,Low,No,3
SHP0696,Pharma,Medical Devices,821.78,6.14,68.3,Medium,Yes,5
SHP0697,Electronics,Mobile,1233.87,5.6,125.57,High,Yes,9
SHP0698,FMCG,Beverages,383.26,11.56,268.04,High,No,11
SHP0699,Electronics,TV,423.31,8.94,406.4,High,No,12
SHP0700,Pharma,Medicines,200.82,0.81,354.72,Low,No,7
SHP0701,Textiles,Home Fabrics,411.56,4.45,144.28,High,No,1
SHP0702,Electronics,Mobile,1483.33,9.71,134.43,High,No,9
SHP0703,Pharma,Medicines,125.41,8.07,192.13,Low,Yes,10
SHP0704,Textiles,Home Fabrics,191.2,5.82,241.56,High,No,6
SHP0705,Pharma,Vaccines,1349.13,11.95,387.58,Medium,No,14
SHP0706,Textiles,Home Fabrics,1357.35,5.48,341.66,Low,No,5
SHP0707,Pharma,Vaccines,1431.94,0.23,61.05,Medium,No,11
SHP0708,FMCG,Packaged Food,843.0,7.75,404.94,High,Yes,5
SHP0709,Pharma,Medicines,1397.55,7.46,139.5,Low,No,1
SHP0710,FMCG,Packaged Food,511.97,10.3,150.16,High,Yes,10
SHP0711,Automotive,Tyres,1489.17,1.99,58.94,Low,Yes,11
SHP0712,Textiles,Clothing,1409.32,11.01,453.49,Medium,No,5
SHP0713,FMCG,Personal Care,1387.01,2.02,96.39,Low,No,3
SHP0714,Automotive,Batteries,1499.06,7.55,410.38,Low,Yes,13
SHP0715,Textiles,Footwear,971.17,0.38,283.53,Medium,Yes,7
SHP0716,FMCG,Packaged Food,234.74,4.67,67.75,Medium,Yes,1
SHP0717,Automotive,Batteries,134.38,2.07,233.85,Medium,No,7
SHP0718,Electronics,Accessories,905.81,7.36,302.79,High,Yes,7
SHP0719,Electronics,TV,1408.86,6.42,275.81,High,No,10
SHP0720,Automotive,Spare Parts,368.31,11.27,324.84,Low,Yes,7
SHP0721,Textiles,Home Fabrics,1066.72,10.93,309.59,Low,Yes,14
SHP0722,FMCG,Packaged Food,1128.82,1.1,321.47,Medium,No,12
SHP0723,FMCG,Personal Care,431.95,4.78,347.45,Low,No,6
SHP0724,Pharma,Medical Devices,788.3,6.45,206.74,Low,Yes,13
SHP0725,Textiles,Home Fabrics,345.21,5.99,488.25,Low,No,2
SHP0726,Pharma,Medicines,1204.55,10.64,282.01,Medium,Yes,14
SHP0727,FMCG,Personal Care,1382.79,2.45,349.47,Low,No,7
SHP0728,Automotive,Spare Parts,381.07,7.74,121.64,High,No,9
SHP0729,Pharma,Medical Devices,744.62,3.61,75.01,Low,No,9
SHP0730,Automotive,Tyres,371.2,8.9,339.37,High,No,12
SHP0731,FMCG,Beverages,196.06,11.06,220.44,Medium,Yes,14
SHP0732,FMCG,Beverages,1456.29,6.73,420.16,Low,No,9
SHP0733,Textiles,Clothing,93.19,9.69,35.47,Medium,No,3
SHP0734,Pharma,Medical Devices,1401.74,10.17,479.35,High,Yes,13
SHP0735,FMCG,Personal Care,942.96,5.7,44.6,High,No,10
SHP0736,FMCG,Personal Care,394.8,0.41,417.52,Low,Yes,12
SHP0737,Electronics,TV,1414.69,5.0,20.79,Medium,No,3
SHP0738,FMCG,Packaged Food,485.91,3.65,119.61,Low,No,2
SHP0739,Textiles,Footwear,715.59,0.72,446.15,High,No,2
SHP0740,Automotive,Spare Parts,364.78,2.86,196.95,Medium,Yes,11
SHP0741,Automotive,Batteries,1260.55,6.02,181.07,High,Yes,4
SHP0742,FMCG,Personal Care,38.04,10.67,176.69,Medium,No,1
SHP0743,Pharma,Medical Devices,534.46,3.43,484.77,Medium,Yes,6
SHP0744,Pharma,Medical Devices,886.26,3.71,346.96,Medium,Yes,2
SHP0745,Textiles,Clothing,312.81,8.7,192.14,Medium,No,10
SHP0746,Electronics,Accessories,242.43,10.95,105.76,Medium,Yes,10
SHP0747,Pharma,Medicines,207.54,2.39,473.87,Low,No,9
SHP0748,Electronics,Mobile,648.24,4.84,296.49,High,No,8
SHP0749,Textiles,Footwear,1140.38,4.13,262.88,Medium,Yes,2
