Hub_ID,Hub_City,Hub_State,Region,Hub_Size_SqFt,Hub_Type,Max_Capacity,Avg_Daily_Throughput,Hub_Operating_Cost,Hub_Status
H389,Birmingham,England,West Midlands,80562,Local,5435,4213,376456,Maintenance
H390,Edinburgh,Scotland,Scotland,164683,Regional,6869,4471,869547,Active
H391,Bristol,England,South West,242953,Central,10117,8696,549017,Maintenance
H392,Manchester,England,North West,116602,Local,5642,4824,466219,Active
H393,Glasgow,Scotland,Scotland,107378,Local,5253,3507,501882,Active
H394,Leicester,England,East Midlands,141001,Regional,8746,5974,810083,Active
H395,Manchester,England,North West,98218,Local,3966,3568,670072,Maintenance
H396,Bristol,England,South West,153143,Regional,6314,4911,652439,Active
H397,Edinburgh,Scotland,Scotland,232304,Central,12932,8850,492550,Maintenance
H398,Leeds,England,Yorkshire,95294,Local,4017,2720,663052,Maintenance
H399,Birmingham,England,West Midlands,118963,Local,4760,3199,896200,Active
H400,Liverpool,England,North West,153423,Regional,8576,6416,685160,Active
H401,Edinburgh,Scotland,Scotland,201989,Central,9953,7433,646182,Active
H402,Bristol,England,South West,274811,Central,14302,12493,520460,Active
H403,Sheffield,England,Yorkshire,214773,Central,9645,7469,404336,Active
H404,Birmingham,England,West Midlands,270608,Central,13529,10810,798117,Active
H405,Edinburgh,Scotland,Scotland,85468,Local,5694,4349,564275,Active
H406,Leeds,England,Yorkshire,151145,Regional,7503,6624,742669,Active
H407,Birmingham,England,West Midlands,174006,Regional,7496,6486,530964,Active
H408,Leeds,England,Yorkshire,99842,Local,4106,3553,438610,Maintenance
H409,Bristol,England,South West,84686,Local,3855,2619,882278,Active
H410,Bristol,England,South West,225718,Central,11889,7799,619159,Active
H411,Leicester,England,East Midlands,190768,Central,14497,11055,457221,Active
H412,Leeds,England,Yorkshire,88466,Local,4222,2931,698775,Maintenance
H413,Edinburgh,Scotland,Scotland,280303,Central,13069,9211,774862,Active
H414,Leeds,England,Yorkshire,266405,Central,12589,10775,556244,Maintenance
H415,Bristol,England,South West,121745,Regional,8773,7619,396716,Active
H416,Glasgow,Scotland,Scotland,192961,Central,12812,8751,838318,Maintenance
H417,Edinburgh,Scotland,Scotland,115079,Local,5669,4415,505677,Maintenance
H418,Bristol,England,South West,88790,Local,4841,4326,842277,Active
H419,Glasgow,Scotland,Scotland,91989,Local,5408,3813,362700,Maintenance
H420,Liverpool,England,North West,107470,Local,5294,4443,754165,Active
H421,Manchester,England,North West,81604,Local,4241,2773,884393,Active
H422,Bristol,England,South West,134408,Regional,7739,6638,855309,Maintenance
H423,Liverpool,England,North West,86153,Local,4187,3447,873868,Active
H424,Birmingham,England,West Midlands,80462,Local,3824,2739,672672,Maintenance
H425,Leicester,England,East Midlands,276902,Central,13366,10425,687883,Active
H426,Manchester,England,North West,217067,Central,13517,10054,666770,Maintenance
H427,Edinburgh,Scotland,Scotland,278115,Central,10520,9400,314909,Maintenance
H428,Liverpool,England,North West,180328,Central,9937,8155,286205,Active
H429,London,England,South East,178049,Regional,7736,5355,409254,Maintenance
H430,Bristol,England,South West,261898,Central,10898,9310,339906,Maintenance
H431,Bristol,England,South West,189870,Central,14076,12382,636186,Active
H432,Bristol,England,South West,172651,Regional,8649,7311,384735,Active
H433,Edinburgh,Scotland,Scotland,114165,Local,5355,3907,317087,Maintenance
H434,Sheffield,England,Yorkshire,112179,Local,5718,4794,895043,Active
H435,Glasgow,Scotland,Scotland,278372,Central,11080,9049,477995,Maintenance
H436,Glasgow,Scotland,Scotland,107307,Local,4663,3037,645641,Active
H437,Leicester,England,East Midlands,150987,Regional,8290,5446,424811,Active
H438,Bristol,England,South West,250981,Central,11083,7262,893955,Active
H439,Birmingham,England,West Midlands,193513,Central,14021,11109,772588,Maintenance
H440,Leicester,England,East Midlands,190724,Central,10845,7718,337832,Active
H441,Leicester,England,East Midlands,161339,Regional,8368,7365,375410,Active
H442,Edinburgh,Scotland,Scotland,214060,Central,9480,6914,718504,Active
H443,Leeds,England,Yorkshire,285069,Central,13588,10802,282550,Maintenance
H444,Edinburgh,Scotland,Scotland,198060,Central,9674,8373,773246,Active
H445,Bristol,England,South West,98554,Local,5060,4283,710518,Maintenance
H446,Leicester,England,East Midlands,221026,Central,9396,6168,838443,Active
H447,Leeds,England,Yorkshire,146980,Regional,8904,7010,596872,Maintenance
H448,Manchester,England,North West,179419,Regional,6938,6024,303367,Maintenance
H449,Birmingham,England,West Midlands,285940,Central,9683,6738,896845,Maintenance
H450,Liverpool,England,North West,275161,Central,10889,9130,734897,Maintenance
H451,Sheffield,England,Yorkshire,117899,Local,4651,3438,786184,Maintenance
H452,Sheffield,England,Yorkshire,114490,Local,4751,3510,875489,Maintenance
H453,Edinburgh,Scotland,Scotland,196278,Central,11026,8652,317463,Maintenance
H454,Leeds,England,Yorkshire,83878,Local,4382,3536,370472,Active
H455,Leeds,England,Yorkshire,199400,Central,12957,10324,622594,Maintenance
H456,Sheffield,England,Yorkshire,172692,Regional,8157,6206,636571,Maintenance
H457,Leeds,England,Yorkshire,174149,Regional,8983,6265,874635,Active
H458,Glasgow,Scotland,Scotland,101298,Local,4492,3625,438388,Active
H459,Leeds,England,Yorkshire,158588,Regional,8952,7252,865310,Maintenance
H460,Leicester,England,East Midlands,160050,Regional,6793,4588,308212,Active
H461,London,England,South East,237283,Central,14700,10735,596059,Maintenance
H462,Glasgow,Scotland,Scotland,114183,Local,5501,4551,337530,Maintenance
H463,Edinburgh,Scotland,Scotland,86012,Local,5397,3511,634864,Maintenance
H464,London,England,South East,121051,Regional,7107,5775,378691,Active
H465,Manchester,England,North West,115565,Local,3590,2709,840971,Active
H466,Leeds,England,Yorkshire,162004,Regional,6695,4502,755249,Active
H467,Leicester,England,East Midlands,292306,Central,11963,10030,419658,Maintenance
H468,Leeds,England,Yorkshire,178613,Regional,6197,4210,833966,Active
H469,London,England,South East,135979,Regional,7788,5304,821083,Active
H470,Sheffield,England,Yorkshire,116376,Local,4235,2831,784316,Maintenance
H471,Leicester,England,East Midlands,149583,Regional,7567,5444,566277,Active
H472,Birmingham,England,West Midlands,87147,Local,5986,5207,322139,Maintenance
H473,Bristol,England,South West,147340,Regional,7192,4785,373072,Active
H474,Manchester,England,North West,92370,Local,3887,2595,384317,Active
H475,Leicester,England,East Midlands,170152,Regional,6862,4602,534394,Maintenance
H476,Edinburgh,Scotland,Scotland,82057,Local,3591,3016,743304,Maintenance
H477,Manchester,England,North West,126844,Regional,7693,5842,588891,Active
H478,Liverpool,England,North West,160185,Regional,6173,4390,311714,Maintenance
H479,Leicester,England,East Midlands,152826,Regional,7272,6187,883627,Active
H480,Leeds,England,Yorkshire,146023,Regional,7839,5177,382807,Active
H481,Manchester,England,North West,220149,Central,9078,6373,586036,Active
H482,Leeds,England,Yorkshire,152858,Regional,6594,5903,555228,Maintenance
H483,Glasgow,Scotland,Scotland,111445,Local,4816,3255,871431,Active
H484,London,England,South East,212009,Central,10607,7808,421900,Active
H485,Birmingham,England,West Midlands,156470,Regional,6624,5496,428064,Active
H486,Liverpool,England,North West,93314,Local,4949,3927,578306,Maintenance
H487,Bristol,England,South West,145430,Regional,7521,5949,571404,Active
H488,Sheffield,England,Yorkshire,106013,Local,4646,3627,293919,Active
H489,Leicester,England,East Midlands,141975,Regional,6541,4386,713953,Maintenance
H490,Glasgow,Scotland,Scotland,99565,Local,3633,3212,895082,Active
H491,Edinburgh,Scotland,Scotland,106520,Local,3942,3489,863793,Maintenance
H492,Bristol,England,South West,148178,Regional,7643,6757,445222,Active
H493,London,England,South East,149421,Regional,6034,4421,651701,Maintenance
H494,Edinburgh,Scotland,Scotland,101113,Local,4009,2945,324055,Maintenance
H495,Edinburgh,Scotland,Scotland,156819,Regional,8447,6417,777746,Maintenance
H496,Leeds,England,Yorkshire,220972,Central,13759,10677,378108,Active
H497,Glasgow,Scotland,Scotland,119896,Local,5272,4464,625134,Active
H498,Edinburgh,Scotland,Scotland,127970,Regional,7173,4804,725397,Maintenance
H499,Edinburgh,Scotland,Scotland,174388,Regional,6152,4768,618685,Active
H500,London,England,South East,215081,Central,13859,11258,478043,Maintenance
